,Unnamed: 0,Nursing Home Name,State,County,Connected_to,Strength,Connected_county,Connected_state
573,573,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,The Estates at Roseville,1,MN,Ramsey 
574,574,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,New Brighton Care Center,1,MN,Ramsey 
575,575,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,The Estates at St Louis Park,1,MN,Hennepin 
576,576,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,Sholom Home West,1,MN,Hennepin 
577,577,Essentia Health Fosston,MN,Polk ,Benedictine Care Community,1,MN,Norman 
578,578,Essentia Health Fosston,MN,Polk ,Essentia Health Oak Crossing,1,MN,Becker 
579,579,Essentia Health Fosston,MN,Polk ,The North Shore Estates,1,MN,St Louis 
580,580,Essentia Health Fosston,MN,Polk ,Essentia Health Virginia Care Cent,1,MN,St Louis 
581,581,Essentia Health Fosston,MN,Polk ,The Emeralds at Grand Rapids,1,MN,Itasca 
582,582,Essentia Health Fosston,MN,Polk ,Cornerstone Nsg and Rehab Center,1,MN,Clearwater 
583,583,Essentia Health Fosston,MN,Polk ,Essentia Health Northern Pines Medical Center,1,MN,St Louis 
584,584,Pathstone Living,MN,Blue Earth ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
585,585,Pathstone Living,MN,Blue Earth ,Lake Winona Manor,1,MN,Winona 
586,586,Pathstone Living,MN,Blue Earth ,Prairie Manor Care Center,1,MN,Steele 
587,587,Pathstone Living,MN,Blue Earth ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
588,588,Pathstone Living,MN,Blue Earth ,Laurels Peak Care and Rehabilitation Center,1,MN,Blue Earth 
589,589,Pathstone Living,MN,Blue Earth ,Ridgeview Lesueur Long Term Care and Rehab Center,1,MN,Le Sueur 
590,590,Pathstone Living,MN,Blue Earth ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
591,591,Pathstone Living,MN,Blue Earth ,Benedictine Living Community,1,MN,Nicollet 
592,592,The Estates at Delano,MN,Wright ,The Estates at Fridley,3,MN,Anoka 
593,593,The Estates at Delano,MN,Wright ,The Estates at Twin Rivers,2,MN,Anoka 
594,594,The Estates at Delano,MN,Wright ,Glencoe Regional Health Services,1,MN,McLeod 
595,595,The Estates at Delano,MN,Wright ,The Gardens at Winsted,1,MN,McLeod 
596,596,The Estates at Delano,MN,Wright ,The Estates at St Louis Park,1,MN,Hennepin 
597,597,The Estates at Delano,MN,Wright ,Victory Health and Rehabilitation Center,1,MN,Hennepin 
598,598,The Estates at Delano,MN,Wright ,The Estates at Excelsior,1,MN,Hennepin 
599,599,The Estates at Delano,MN,Wright ,Parmly On The Lake,1,MN,Chisago 
600,600,Sunnyside Health Care Center,MN,Carlton ,Mille Lacs Health System,3,MN,Mille Lacs 
601,601,Sunnyside Health Care Center,MN,Carlton ,Interfaith Care Center,2,MN,Carlton 
602,602,Sunnyside Health Care Center,MN,Carlton ,Viewcrest Health Center,1,MN,St Louis 
603,603,Sunnyside Health Care Center,MN,Carlton ,Centracare Health - Monticello,1,MN,Wright 
604,604,Sunnyside Health Care Center,MN,Carlton ,Bayshore Residence and Rehab Ctr,1,MN,St Louis 
605,605,Sunnyside Health Care Center,MN,Carlton ,Augustana Mercy Care Center,1,MN,Carlton 
606,606,Sunnyside Health Care Center,MN,Carlton ,Benedictine Health Center,1,MN,St Louis 
608,608,The Estates at Twin Rivers,MN,Anoka ,The Estates at Fridley,3,MN,Anoka 
609,609,The Estates at Twin Rivers,MN,Anoka ,The Estates at Delano,2,MN,Wright 
610,610,The Estates at Twin Rivers,MN,Anoka ,Centracare Health - Monticello,1,MN,Wright 
611,611,The Estates at Twin Rivers,MN,Anoka ,The Gardens at Winsted,1,MN,McLeod 
612,612,The Estates at Twin Rivers,MN,Anoka ,The Estates at St Louis Park,1,MN,Hennepin 
613,613,The Estates at Twin Rivers,MN,Anoka ,Victory Health and Rehabilitation Center,1,MN,Hennepin 
614,614,The Estates at Twin Rivers,MN,Anoka ,The Estates at Excelsior,1,MN,Hennepin 
615,615,The Estates at Twin Rivers,MN,Anoka ,Woodbury Health Care Center,1,MN,Washington 
616,616,Viewcrest Health Center,MN,St Louis ,Augustana Mercy Care Center,2,MN,Carlton 
617,617,Viewcrest Health Center,MN,St Louis ,Bayshore Residence and Rehab Ctr,1,MN,St Louis 
618,618,Viewcrest Health Center,MN,St Louis ,Interfaith Care Center,1,MN,Carlton 
619,619,Viewcrest Health Center,MN,St Louis ,Franciscan Health Center,1,MN,St Louis 
620,620,Viewcrest Health Center,MN,St Louis ,Sunnyside Health Care Center,1,MN,Carlton 
621,621,Viewcrest Health Center,MN,St Louis ,Benedictine Health Center,1,MN,St Louis 
623,623,Centracare Health System - Melrose Pine Villa C C,MN,Stearns ,Centracare Health Paynesville Koronis Manor Cc,3,MN,Stearns 
624,624,Centracare Health System - Melrose Pine Villa C C,MN,Stearns ,Centracare Health System-Sauk Centre Nursing Home,3,MN,Stearns 
625,625,Centracare Health System - Melrose Pine Villa C C,MN,Stearns ,Mother Of Mercy Senior Living,2,MN,Stearns 
626,626,Centracare Health System - Melrose Pine Villa C C,MN,Stearns ,Centracare Health System - Long Prairie,2,MN,Todd 
627,627,Centracare Health System - Melrose Pine Villa C C,MN,Stearns ,Centracare Health - Monticello,1,MN,Wright 
628,628,Centracare Health System - Melrose Pine Villa C C,MN,Stearns ,Capitol View Transitional Care Center,1,MN,Ramsey 
629,629,Centracare Health System - Melrose Pine Villa C C,MN,Stearns ,St Benedicts Senior Community,1,MN,Stearns 
630,630,Caledonia Rehabilitation and Retirement Center,MN,Houston ,New Brighton A Villa Center,1,MN,Ramsey 
631,631,Caledonia Rehabilitation and Retirement Center,MN,Houston ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
632,632,Caledonia Rehabilitation and Retirement Center,MN,Houston ,The Gardens at Cannon Falls,1,MN,Goodhue 
633,633,Caledonia Rehabilitation and Retirement Center,MN,Houston ,Southview Acres Healthcare Center,1,MN,Dakota 
634,634,Caledonia Rehabilitation and Retirement Center,MN,Houston ,Ostrander Care and Rehab,1,MN,Fillmore 
635,635,Caledonia Rehabilitation and Retirement Center,MN,Houston ,Hillcrest Care and Rehabilitation Center,1,MN,Blue Earth 
637,637,Central Health Care,MN,Le Sueur ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
638,638,Central Health Care,MN,Le Sueur ,Oak Hills Living Center,1,MN,Brown 
639,639,Central Health Care,MN,Le Sueur ,Divine Providence Community Home,1,MN,Brown 
640,640,Central Health Care,MN,Le Sueur ,St John Lutheran Home,1,MN,Brown 
641,641,Central Health Care,MN,Le Sueur ,The Gardens at Cannon Falls,1,MN,Goodhue 
642,642,Central Health Care,MN,Le Sueur ,Mala Strana Care and Rehabilitation Center,1,MN,Scott 
643,643,Central Health Care,MN,Le Sueur ,Sleepy Eye Care Center,1,MN,Brown 
644,644,Bayshore Residence and Rehab Ctr,MN,St Louis ,Benedictine Health Center,2,MN,St Louis 
645,645,Bayshore Residence and Rehab Ctr,MN,St Louis ,Viewcrest Health Center,1,MN,St Louis 
646,646,Bayshore Residence and Rehab Ctr,MN,St Louis ,Augustana Mercy Care Center,1,MN,Carlton 
647,647,Bayshore Residence and Rehab Ctr,MN,St Louis ,Interfaith Care Center,1,MN,Carlton 
648,648,Bayshore Residence and Rehab Ctr,MN,St Louis ,The North Shore Estates,1,MN,St Louis 
649,649,Bayshore Residence and Rehab Ctr,MN,St Louis ,Sunnyside Health Care Center,1,MN,Carlton 
651,651,Lake Minnetonka Shores,MN,Hennepin ,Interlude,2,MN,Hennepin 
652,652,Lake Minnetonka Shores,MN,Hennepin ,Presbyterian Homes Of Bloomington,1,MN,Hennepin 
653,653,Lake Minnetonka Shores,MN,Hennepin ,Aurora On France,1,MN,Hennepin 
654,654,Lake Minnetonka Shores,MN,Hennepin ,Good Samaritan Society - Waconia and Westview Acre,1,MN,Carver 
655,655,Lake Minnetonka Shores,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
656,656,Lake Minnetonka Shores,MN,Hennepin ,St Gertrudes Health and Rehabilitation Center,1,MN,Scott 
657,657,Lake Minnetonka Shores,MN,Hennepin ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
658,658,St Benedicts Senior Community,MN,Stearns ,Good Shepherd Lutheran Home,2,MN,Benton 
659,659,St Benedicts Senior Community,MN,Stearns ,Centracare Health System - Melrose Pine Villa C C,1,MN,Stearns 
660,660,St Benedicts Senior Community,MN,Stearns ,Glencoe Regional Health Services,1,MN,McLeod 
661,661,St Benedicts Senior Community,MN,Stearns ,Centracare Health System-Sauk Centre Nursing Home,1,MN,Stearns 
662,662,St Benedicts Senior Community,MN,Stearns ,Knute Nelson,1,MN,Douglas 
663,663,St Benedicts Senior Community,MN,Stearns ,Ebenezer Ridges Geriatric Care Center,1,MN,Dakota 
664,664,St Benedicts Senior Community,MN,Stearns ,Centracare Health Paynesville Koronis Manor Cc,1,MN,Stearns 
665,665,Southview Acres Healthcare Center,MN,Dakota ,Capitol View Transitional Care Center,3,MN,Ramsey 
666,666,Southview Acres Healthcare Center,MN,Dakota ,New Brighton A Villa Center,1,MN,Ramsey 
667,667,Southview Acres Healthcare Center,MN,Dakota ,Caledonia Rehabilitation and Retirement Center,1,MN,Houston 
668,668,Southview Acres Healthcare Center,MN,Dakota ,The Gardens at Cannon Falls,1,MN,Goodhue 
669,669,Southview Acres Healthcare Center,MN,Dakota ,The Estates at Roseville,1,MN,Ramsey 
670,670,Southview Acres Healthcare Center,MN,Dakota ,Galtier A Villa Center,1,MN,Ramsey 
671,671,Southview Acres Healthcare Center,MN,Dakota ,Guardian Angels Care Center,1,MN,Sherburne 
672,672,The Estates at Fridley,MN,Anoka ,The Estates at Twin Rivers,3,MN,Anoka 
673,673,The Estates at Fridley,MN,Anoka ,The Estates at Delano,3,MN,Wright 
674,674,The Estates at Fridley,MN,Anoka ,The Gardens at Winsted,1,MN,McLeod 
675,675,The Estates at Fridley,MN,Anoka ,The Estates at St Louis Park,1,MN,Hennepin 
676,676,The Estates at Fridley,MN,Anoka ,Victory Health and Rehabilitation Center,1,MN,Hennepin 
677,677,The Estates at Fridley,MN,Anoka ,The Estates at Excelsior,1,MN,Hennepin 
678,678,The Estates at Fridley,MN,Anoka ,Parmly On The Lake,1,MN,Chisago 
679,679,Mn Veterans Home Minneapolis,MN,Hennepin ,Capitol View Transitional Care Center,1,MN,Ramsey 
680,680,Mn Veterans Home Minneapolis,MN,Hennepin ,Redeemer Residence,1,MN,Hennepin 
681,681,Mn Veterans Home Minneapolis,MN,Hennepin ,Ebenezer Care Center,1,MN,Hennepin 
682,682,Mn Veterans Home Minneapolis,MN,Hennepin ,Cerenity - Marian Of St Paul ,1,MN,Ramsey 
683,683,Mn Veterans Home Minneapolis,MN,Hennepin ,Martin Luther Care Center,1,MN,Hennepin 
684,684,Mn Veterans Home Minneapolis,MN,Hennepin ,St Gertrudes Health and Rehabilitation Center,1,MN,Scott 
685,685,Mn Veterans Home Minneapolis,MN,Hennepin ,Ebenezer Ridges Geriatric Care Center,1,MN,Dakota 
686,686,The Gardens at Winsted,MN,McLeod ,The Estates at St Louis Park,2,MN,Hennepin 
687,687,The Gardens at Winsted,MN,McLeod ,Glencoe Regional Health Services,1,MN,McLeod 
688,688,The Gardens at Winsted,MN,McLeod ,Ridgeview Lesueur Long Term Care and Rehab Center,1,MN,Le Sueur 
689,689,The Gardens at Winsted,MN,McLeod ,The Estates at Fridley,1,MN,Anoka 
690,690,The Gardens at Winsted,MN,McLeod ,The Emeralds at Faribault,1,MN,Rice 
691,691,The Gardens at Winsted,MN,McLeod ,The Estates at Delano,1,MN,Wright 
692,692,The Gardens at Winsted,MN,McLeod ,The Estates at Twin Rivers,1,MN,Anoka 
693,693,Woodlyn Heights Healthcare Center,MN,Dakota ,Woodbury Health Care Center,2,MN,Washington 
694,694,Woodlyn Heights Healthcare Center,MN,Dakota ,Ebenezer Care Center,1,MN,Hennepin 
695,695,Woodlyn Heights Healthcare Center,MN,Dakota ,Good Samaritan Society - Maplewood,1,MN,Ramsey 
696,696,Woodlyn Heights Healthcare Center,MN,Dakota ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
697,697,Woodlyn Heights Healthcare Center,MN,Dakota ,Galtier A Villa Center,1,MN,Ramsey 
698,698,Woodlyn Heights Healthcare Center,MN,Dakota ,Brookview A Villa Center,1,MN,Hennepin 
699,699,Woodlyn Heights Healthcare Center,MN,Dakota ,Sholom Home West,1,MN,Hennepin 
700,700,Victory Health and Rehabilitation Center,MN,Hennepin ,Avera Morningside Heights Care Center,1,MN,Lyon 
701,701,Victory Health and Rehabilitation Center,MN,Hennepin ,The Estates at Fridley,1,MN,Anoka 
702,702,Victory Health and Rehabilitation Center,MN,Hennepin ,The Estates at Excelsior,1,MN,Hennepin 
703,703,Victory Health and Rehabilitation Center,MN,Hennepin ,Centennial Gardens for Nursing and Rehabilitation,1,MN,Hennepin 
704,704,Victory Health and Rehabilitation Center,MN,Hennepin ,Augustana Health Care Center Of Minneapolis,1,MN,Hennepin 
705,705,Victory Health and Rehabilitation Center,MN,Hennepin ,The Estates at Delano,1,MN,Wright 
706,706,Victory Health and Rehabilitation Center,MN,Hennepin ,The Estates at Twin Rivers,1,MN,Anoka 
707,707,The Estates at Excelsior,MN,Hennepin ,The Emeralds at St Paul,2,MN,Ramsey 
708,708,The Estates at Excelsior,MN,Hennepin ,Hopkins Health Services,1,MN,Hennepin 
709,709,The Estates at Excelsior,MN,Hennepin ,The Estates at Fridley,1,MN,Anoka 
710,710,The Estates at Excelsior,MN,Hennepin ,The Estates at Roseville,1,MN,Ramsey 
711,711,The Estates at Excelsior,MN,Hennepin ,Victory Health and Rehabilitation Center,1,MN,Hennepin 
712,712,The Estates at Excelsior,MN,Hennepin ,The Estates at Delano,1,MN,Wright 
713,713,The Estates at Excelsior,MN,Hennepin ,The Estates at Twin Rivers,1,MN,Anoka 
714,714,The Emeralds at Faribault,MN,Rice ,Pleasant Manor,3,MN,Rice 
715,715,The Emeralds at Faribault,MN,Rice ,Koda Living Community,2,MN,Steele 
716,716,The Emeralds at Faribault,MN,Rice ,The Gardens at Winsted,1,MN,McLeod 
717,717,The Emeralds at Faribault,MN,Rice ,Northfield Hospital Long Term Care Center,1,MN,Dakota 
718,718,The Emeralds at Faribault,MN,Rice ,The Estates at St Louis Park,1,MN,Hennepin 
719,719,The Emeralds at Faribault,MN,Rice ,Edenbrook Of Edina,1,MN,Hennepin 
720,720,The Emeralds at Faribault,MN,Rice ,Hillcrest Care and Rehabilitation Center,1,MN,Blue Earth 
721,721,Presbyterian Homes Of North Oaks,MN,Ramsey ,Capitol View Transitional Care Center,1,MN,Ramsey 
722,722,Presbyterian Homes Of North Oaks,MN,Ramsey ,Presbyterian Homes Of Bloomington,1,MN,Hennepin 
723,723,Presbyterian Homes Of North Oaks,MN,Ramsey ,Little Falls Care Center,1,MN,Morrison 
724,724,Presbyterian Homes Of North Oaks,MN,Ramsey ,New Brighton Care Center,1,MN,Ramsey 
725,725,Presbyterian Homes Of North Oaks,MN,Ramsey ,Gracepointe Crossing Gables,1,MN,Isanti 
726,726,Presbyterian Homes Of North Oaks,MN,Ramsey ,St Therese Home,1,MN,Hennepin 
727,727,Presbyterian Homes Of North Oaks,MN,Ramsey ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
728,728,Cuyuna Regional Medical Center,MN,Crow Wing ,Centracare Health - Monticello,1,MN,Wright 
729,729,Cuyuna Regional Medical Center,MN,Crow Wing ,Glencoe Regional Health Services,1,MN,McLeod 
730,730,Cuyuna Regional Medical Center,MN,Crow Wing ,Good Samaritan Society - Bethany,1,MN,Crow Wing 
731,731,Cuyuna Regional Medical Center,MN,Crow Wing ,Northfield Hospital Long Term Care Center,1,MN,Dakota 
732,732,Cuyuna Regional Medical Center,MN,Crow Wing ,Assumption Home,1,MN,Stearns 
735,735,Park Health A Villa Center,MN,Hennepin ,Rose Of Sharon A Villa Center,2,MN,Ramsey 
736,736,Park Health A Villa Center,MN,Hennepin ,Texas Terrace A Villa Center,1,MN,Hennepin 
737,737,Park Health A Villa Center,MN,Hennepin ,Good Samaritan Society - Stillwater,1,MN,Washington 
738,738,Park Health A Villa Center,MN,Hennepin ,Good Samaritan Ambassador,1,MN,Hennepin 
739,739,Park Health A Villa Center,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
740,740,Park Health A Villa Center,MN,Hennepin ,Good Samaritan Society - Inver Grove Heights,1,MN,Dakota 
741,741,Park Health A Villa Center,MN,Hennepin ,Good Samaritan Society - Specialty Care Community,1,MN,Hennepin 
742,742,Benedictine Health Center,MN,St Louis ,Bayshore Residence and Rehab Ctr,2,MN,St Louis 
743,743,Benedictine Health Center,MN,St Louis ,Viewcrest Health Center,1,MN,St Louis 
744,744,Benedictine Health Center,MN,St Louis ,Augustana Mercy Care Center,1,MN,Carlton 
745,745,Benedictine Health Center,MN,St Louis ,Interfaith Care Center,1,MN,Carlton 
746,746,Benedictine Health Center,MN,St Louis ,The North Shore Estates,1,MN,St Louis 
747,747,Benedictine Health Center,MN,St Louis ,Sunnyside Health Care Center,1,MN,Carlton 
749,749,Ridgeview Lesueur Long Term Care and Rehab Center,MN,Le Sueur ,St Gertrudes Health and Rehabilitation Center,2,MN,Scott 
750,750,Ridgeview Lesueur Long Term Care and Rehab Center,MN,Le Sueur ,Laurels Peak Care and Rehabilitation Center,1,MN,Blue Earth 
751,751,Ridgeview Lesueur Long Term Care and Rehab Center,MN,Le Sueur ,The Gardens at Winsted,1,MN,McLeod 
752,752,Ridgeview Lesueur Long Term Care and Rehab Center,MN,Le Sueur ,Northfield Hospital Long Term Care Center,1,MN,Dakota 
753,753,Ridgeview Lesueur Long Term Care and Rehab Center,MN,Le Sueur ,Pathstone Living,1,MN,Blue Earth 
754,754,Ridgeview Lesueur Long Term Care and Rehab Center,MN,Le Sueur ,Charter House,1,MN,Olmsted 
755,755,Presbyterian Homes Of Bloomington,MN,Hennepin ,Carondelet Village Care Center,1,MN,Ramsey 
756,756,Presbyterian Homes Of Bloomington,MN,Hennepin ,Lake Minnetonka Shores,1,MN,Hennepin 
757,757,Presbyterian Homes Of Bloomington,MN,Hennepin ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
758,758,Presbyterian Homes Of Bloomington,MN,Hennepin ,Folkestone,1,MN,Hennepin 
759,759,Presbyterian Homes Of Bloomington,MN,Hennepin ,Presbyterian Homes Of North Oaks,1,MN,Ramsey 
760,760,Presbyterian Homes Of Bloomington,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
761,761,Augustana Mercy Care Center,MN,Carlton ,Viewcrest Health Center,2,MN,St Louis 
762,762,Augustana Mercy Care Center,MN,Carlton ,Bayshore Residence and Rehab Ctr,1,MN,St Louis 
763,763,Augustana Mercy Care Center,MN,Carlton ,Interfaith Care Center,1,MN,Carlton 
764,764,Augustana Mercy Care Center,MN,Carlton ,Sunnyside Health Care Center,1,MN,Carlton 
765,765,Augustana Mercy Care Center,MN,Carlton ,Benedictine Health Center,1,MN,St Louis 
767,767,Pleasant Manor,MN,Rice ,The Emeralds at Faribault,3,MN,Rice 
768,768,Pleasant Manor,MN,Rice ,Rochester Health Services West,1,MN,Olmsted 
769,769,Pleasant Manor,MN,Rice ,Laurels Peak Care and Rehabilitation Center,1,MN,Blue Earth 
770,770,Pleasant Manor,MN,Rice ,La Crescent Health Services,1,MN,Houston 
771,771,Pleasant Manor,MN,Rice ,Woodbury Health Care Center,1,MN,Washington 
773,773,Interfaith Care Center,MN,Carlton ,Sunnyside Health Care Center,2,MN,Carlton 
774,774,Interfaith Care Center,MN,Carlton ,Viewcrest Health Center,1,MN,St Louis 
775,775,Interfaith Care Center,MN,Carlton ,Bayshore Residence and Rehab Ctr,1,MN,St Louis 
776,776,Interfaith Care Center,MN,Carlton ,Augustana Mercy Care Center,1,MN,Carlton 
777,777,Interfaith Care Center,MN,Carlton ,Benedictine Health Center,1,MN,St Louis 
779,779,Good Shepherd Lutheran Home,MN,Benton ,St Benedicts Senior Community,2,MN,Stearns 
780,780,Good Shepherd Lutheran Home,MN,Benton ,The Gardens at Foley,1,MN,Benton 
781,781,Good Shepherd Lutheran Home,MN,Benton ,Glencoe Regional Health Services,1,MN,McLeod 
782,782,Good Shepherd Lutheran Home,MN,Benton ,Annandale Care Center,1,MN,Wright 
783,783,Good Shepherd Lutheran Home,MN,Benton ,Brookview A Villa Center,1,MN,Hennepin 
784,784,Good Shepherd Lutheran Home,MN,Benton ,St Crispin Living Community,1,MN,Goodhue 
785,785,Villa St Vincent,MN,Polk ,Benedictine Care Community,2,MN,Norman 
786,786,Villa St Vincent,MN,Polk ,Riverview Hospital and Nursing Home,1,MN,Polk 
787,787,Villa St Vincent,MN,Polk ,Pioneer Memorial Care Center,1,MN,Polk 
791,791,Good Samaritan Ambassador,MN,Hennepin ,The Villa at St Louis Park,1,MN,Hennepin 
792,792,Good Samaritan Ambassador,MN,Hennepin ,The Villa at Osseo,1,MN,Hennepin 
793,793,Good Samaritan Ambassador,MN,Hennepin ,Saint Therese at Oxbow Lake,1,MN,Hennepin 
794,794,Good Samaritan Ambassador,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
795,795,Good Samaritan Ambassador,MN,Hennepin ,Park Health A Villa Center,1,MN,Hennepin 
796,796,Good Samaritan Ambassador,MN,Hennepin ,St Therese Home,1,MN,Hennepin 
797,797,Edenbrook Of Edina,MN,Hennepin ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
798,798,Edenbrook Of Edina,MN,Hennepin ,The North Shore Estates,1,MN,St Louis 
799,799,Edenbrook Of Edina,MN,Hennepin ,Mount Olivet Careview Home,1,MN,Hennepin 
800,800,Edenbrook Of Edina,MN,Hennepin ,The Emeralds at Faribault,1,MN,Rice 
801,801,Edenbrook Of Edina,MN,Hennepin ,The Emeralds at St Paul,1,MN,Ramsey 
802,802,Edenbrook Of Edina,MN,Hennepin ,Koda Living Community,1,MN,Steele 
803,803,Folkestone,MN,Hennepin ,St Therese Home,2,MN,Hennepin 
804,804,Folkestone,MN,Hennepin ,North Ridge Health and Rehab,1,MN,Hennepin 
805,805,Folkestone,MN,Hennepin ,Presbyterian Homes Of Bloomington,1,MN,Hennepin 
806,806,Folkestone,MN,Hennepin ,Saint Therese at Oxbow Lake,1,MN,Hennepin 
807,807,Folkestone,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
808,808,Folkestone,MN,Hennepin ,Walker Methodist Westwood Ridge Ii,1,MN,Dakota 
809,809,Augustana Health Care Center Of Minneapolis,MN,Hennepin ,Andrew Residence,2,MN,Hennepin 
810,810,Augustana Health Care Center Of Minneapolis,MN,Hennepin ,Redeemer Residence,1,MN,Hennepin 
811,811,Augustana Health Care Center Of Minneapolis,MN,Hennepin ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
812,812,Augustana Health Care Center Of Minneapolis,MN,Hennepin ,Covenant Living Of Golden Valley Care and Rehab Ctr,1,MN,Hennepin 
813,813,Augustana Health Care Center Of Minneapolis,MN,Hennepin ,Victory Health and Rehabilitation Center,1,MN,Hennepin 
814,814,Augustana Health Care Center Of Minneapolis,MN,Hennepin ,Centennial Gardens for Nursing and Rehabilitation,1,MN,Hennepin 
815,815,Centracare Health Paynesville Koronis Manor Cc,MN,Stearns ,Centracare Health System - Melrose Pine Villa C C,3,MN,Stearns 
816,816,Centracare Health Paynesville Koronis Manor Cc,MN,Stearns ,Centracare Health System - Long Prairie,2,MN,Todd 
817,817,Centracare Health Paynesville Koronis Manor Cc,MN,Stearns ,Lake Winona Manor,1,MN,Winona 
818,818,Centracare Health Paynesville Koronis Manor Cc,MN,Stearns ,Capitol View Transitional Care Center,1,MN,Ramsey 
819,819,Centracare Health Paynesville Koronis Manor Cc,MN,Stearns ,Centracare Health System-Sauk Centre Nursing Home,1,MN,Stearns 
820,820,Centracare Health Paynesville Koronis Manor Cc,MN,Stearns ,St Benedicts Senior Community,1,MN,Stearns 
821,821,St Anthony Health and Rehabilitation,MN,Ramsey ,Catholic Eldercare On Main,1,MN,Hennepin 
822,822,St Anthony Health and Rehabilitation,MN,Ramsey ,Minnesota Masonic Home Care Center,1,MN,Hennepin 
823,823,St Anthony Health and Rehabilitation,MN,Ramsey ,Capitol View Transitional Care Center,1,MN,Ramsey 
824,824,St Anthony Health and Rehabilitation,MN,Ramsey ,Highland Chateau Health Care Center,1,MN,Ramsey 
825,825,St Anthony Health and Rehabilitation,MN,Ramsey ,St Therese Home,1,MN,Hennepin 
826,826,St Anthony Health and Rehabilitation,MN,Ramsey ,Ebenezer Ridges Geriatric Care Center,1,MN,Dakota 
827,827,Koda Living Community,MN,Steele ,Northfield Hospital Long Term Care Center,2,MN,Dakota 
828,828,Koda Living Community,MN,Steele ,The Emeralds at Faribault,2,MN,Rice 
829,829,Koda Living Community,MN,Steele ,Samaritan Bethany Home On Eighth,1,MN,Olmsted 
830,830,Koda Living Community,MN,Steele ,Edenbrook Of Edina,1,MN,Hennepin 
831,831,Koda Living Community,MN,Steele ,Lakeshore Inn Nursing Home,1,MN,Waseca 
832,832,Richfield A Villa Center,MN,Hennepin ,Castle Ridge Care Center,1,MN,Hennepin 
833,833,Richfield A Villa Center,MN,Hennepin ,Mount Olivet Careview Home,1,MN,Hennepin 
834,834,Richfield A Villa Center,MN,Hennepin ,The Estates at Bloomington,1,MN,Hennepin 
835,835,Centracare Health System-Sauk Centre Nursing Home,MN,Stearns ,Centracare Health System - Melrose Pine Villa C C,3,MN,Stearns 
836,836,Centracare Health System-Sauk Centre Nursing Home,MN,Stearns ,St Benedicts Senior Community,1,MN,Stearns 
837,837,Centracare Health System-Sauk Centre Nursing Home,MN,Stearns ,Galeon,1,MN,Douglas 
838,838,Centracare Health System-Sauk Centre Nursing Home,MN,Stearns ,Centracare Health System - Long Prairie,1,MN,Todd 
839,839,Centracare Health System-Sauk Centre Nursing Home,MN,Stearns ,Centracare Health Paynesville Koronis Manor Cc,1,MN,Stearns 
840,840,Little Falls Care Center,MN,Morrison ,Pierz Villa,1,MN,Morrison 
841,841,Little Falls Care Center,MN,Morrison ,Gracepointe Crossing Gables,1,MN,Isanti 
842,842,Little Falls Care Center,MN,Morrison ,Presbyterian Homes Of North Oaks,1,MN,Ramsey 
843,843,Little Falls Care Center,MN,Morrison ,Centracare Health System - Long Prairie,1,MN,Todd 
844,844,Cerenity Care Center On Humboldt,MN,Ramsey ,The Estates at Lynnhurst,1,MN,Ramsey 
845,845,Cerenity Care Center On Humboldt,MN,Ramsey ,The Estates at Roseville,1,MN,Ramsey 
846,846,Cerenity Care Center On Humboldt,MN,Ramsey ,Gables Of Boutwells Landing,1,MN,Washington 
847,847,Cerenity Care Center On Humboldt,MN,Ramsey ,Walker Methodist Westwood Ridge Ii,1,MN,Dakota 
849,849,Glenwood Village Care Center,MN,Pope ,Lb Broen Home,1,MN,Otter Tail 
850,850,Glenwood Village Care Center,MN,Pope ,Evansville Care Center,1,MN,Douglas 
851,851,Glenwood Village Care Center,MN,Pope ,Mother Of Mercy Senior Living,1,MN,Stearns 
852,852,Glenwood Village Care Center,MN,Pope ,Knute Nelson,1,MN,Douglas 
853,853,The North Shore Estates,MN,St Louis ,Bayshore Residence and Rehab Ctr,1,MN,St Louis 
854,854,The North Shore Estates,MN,St Louis ,The Emeralds at Grand Rapids,1,MN,Itasca 
855,855,The North Shore Estates,MN,St Louis ,Essentia Health Fosston,1,MN,Polk 
856,856,The North Shore Estates,MN,St Louis ,Edenbrook Of Edina,1,MN,Hennepin 
